gene_ID	var	rank
Crpow_TRINITY_DN690_c2_g1	0.9622717799232404	133170
Crpow_TRINITY_DN7221_c0_g1	0.9621316233987683	133169
Crpow_TRINITY_DN126_c0_g2	0.9612954515960112	133168
Crpow_TRINITY_DN5580_c1_g1	0.9603767981931534	133167
Crpow_TRINITY_DN4001_c0_g1	0.9579929818083862	133166
Crpow_TRINITY_DN11107_c0_g1	0.9486602165237089	133165
Crpow_TRINITY_DN404020_c1_g1	0.9485902093726775	133164
Crpow_TRINITY_DN5843_c0_g1	0.9485897513809348	133163
Crpow_TRINITY_DN10380_c0_g1	0.9454981655960432	133162
Crpow_TRINITY_DN1331_c0_g1	0.9449843214264491	133161
Crpow_TRINITY_DN26100_c0_g1	0.9435600755160644	133160
Crpow_TRINITY_DN16661_c0_g1	0.941696891754975	133159
Crpow_TRINITY_DN15934_c0_g5	0.9386492025156258	133158
Crpow_TRINITY_DN1391_c2_g1	0.934884403737014	133157
Crpow_TRINITY_DN8218_c7_g2	0.9308376311158361	133156
Crpow_TRINITY_DN2942_c1_g1	0.9304955270795138	133155
Crpow_TRINITY_DN3545_c0_g1	0.9270797042748129	133154
Crpow_TRINITY_DN275_c0_g2	0.9255538204328158	133153
Crpow_TRINITY_DN127033_c0_g1	0.9238306926940801	133152
Crpow_TRINITY_DN20647_c1_g1	0.9226465349304569	133151
Crpow_TRINITY_DN11718_c1_g1	0.9195415540449714	133150
Crpow_TRINITY_DN21210_c0_g2	0.918989840119568	133149
Crpow_TRINITY_DN130405_c0_g1	0.9173530688505785	133148
Crpow_TRINITY_DN7943_c1_g1	0.9166634145481685	133147
Crpow_TRINITY_DN14435_c0_g2	0.916568012820312	133146
Crpow_TRINITY_DN9646_c0_g1	0.9161570870029888	133145
Crpow_TRINITY_DN8000_c0_g3	0.9118183629061192	133144
Crpow_TRINITY_DN5548_c2_g1	0.9093925446588044	133143
Crpow_TRINITY_DN2798_c1_g1	0.9082071993872656	133142
Crpow_TRINITY_DN60836_c0_g1	0.9041417074610366	133141
Crpow_TRINITY_DN21962_c1_g1	0.902396341447154	133140
Crpow_TRINITY_DN49495_c0_g2	0.8997826999055941	133139
Crpow_TRINITY_DN1102_c0_g1	0.8986228986912074	133138
Crpow_TRINITY_DN31111_c0_g1	0.8970171962221178	133137
Crpow_TRINITY_DN15251_c0_g1	0.8960644508836475	133136
Crpow_TRINITY_DN3196_c0_g1	0.895647717084109	133135
Crpow_TRINITY_DN3459_c0_g1	0.8943272073546071	133134
Crpow_TRINITY_DN4404_c1_g1	0.8936567889690863	133133
Crpow_TRINITY_DN51636_c0_g1	0.8933563362222283	133132
Crpow_TRINITY_DN27644_c1_g1	0.8902976277392454	133131
Crpow_TRINITY_DN5199_c0_g1	0.8891229784715462	133130
Crpow_TRINITY_DN22032_c10_g1	0.8880282179173093	133129
Crpow_TRINITY_DN7754_c0_g1	0.8875121538263698	133128
Crpow_TRINITY_DN19729_c4_g1	0.8843373343769747	133127
Crpow_TRINITY_DN7248_c1_g2	0.8806324093792276	133126
Crpow_TRINITY_DN4343_c0_g1	0.8776206599006545	133125
Crpow_TRINITY_DN48645_c0_g1	0.8764136409971666	133124
Crpow_TRINITY_DN3075_c3_g1	0.8744260360057555	133123
Crpow_TRINITY_DN13704_c2_g1	0.872337092004903	133122
Crpow_TRINITY_DN24081_c0_g1	0.8704215553364358	133121
Crpow_TRINITY_DN7647_c1_g1	0.8694861166655508	133120
Crpow_TRINITY_DN10207_c0_g3	0.8644183924320824	133119
Crpow_TRINITY_DN23224_c0_g1	0.8590920254559109	133118
Crpow_TRINITY_DN13416_c0_g1	0.8586827204691677	133117
Crpow_TRINITY_DN100336_c0_g1	0.850534817688509	133116
Crpow_TRINITY_DN14435_c0_g1	0.8487858577816474	133115
Crpow_TRINITY_DN10532_c2_g1	0.8449056578047567	133114
Crpow_TRINITY_DN6881_c3_g1	0.8416011419987823	133113
Crpow_TRINITY_DN21154_c0_g2	0.8413666779672613	133112
Crpow_TRINITY_DN10954_c0_g1	0.8395462714147285	133111
Crpow_TRINITY_DN3035_c0_g1	0.838699109198784	133110
